key,message,language,_context
Services,Prestations de service,fr,ProductCategory#name
Computers,Ordinateurs,fr,ProductCategory#name
Laptops,Ordinateurs portables,fr,ProductCategory#name
Monitors,Ecrans,fr,ProductCategory#name
Books,Livres,fr,ProductCategory#name
Home & Garden,Maison & Jardin,fr,ProductCategory#name
Kitchen & Home Appliances,Appareils de cuisine et de maison,fr,ProductCategory#name
Garden & Outdoors,Jardin et extérieur,fr,ProductCategory#name
Wireless Keyboard,Clavier sans fil,fr,Product#name
11.6-inch Touchscreen Laptop,"Ordinateur portable à écran tactile de 11,6 pouces",fr,Product#name
Full HD 15.6 Inch Aluminum-Body Laptop,"Ordinateur portable en aluminium Full HD 15,6 pouces",fr,Product#name
Full HD 15.6 Inch Aluminum-Body Laptop,"Full HD 15.6 Inch Aluminium-Body Laptop",en-GB,Product#name
The Universe,L'univers,fr,Product#name
The Age of AI: And Our Human Future,L'ère de l'IA: et notre avenir humain,fr,Product#name
Slice Toaster,Grille-pain tranche,fr,Product#name
Small Combination Microwave Oven & Grill,Petit four à micro-ondes et gril combinés,fr,Product#name
Multifunctional Food Processor,Robot culinaire multifonctionnel,fr,Product#name
Outdoor Storage Box,Boîte de rangement extérieure,fr,Product#name
Patio Lounge Chair,Chaise longue de terrasse,fr,Product#name
Mechanical Gaming Keyboard,Clavier mécanique de jeu,fr,Product#name
17.3-inch Gaming Laptop,Ordinateur portable gamer de 17.3 pouces,fr,Product#name
Ergonomic Office Chair,Chaise de bureau ergonomique,fr,Product#name
27-inch LED Monitor,Moniteur LED 27 pouces,fr,Product#name
Portable Bluetooth Speaker,Haut-parleur Bluetooth portable,fr,Product#name
Double-Door Refrigerator,Réfrigérateur à double porte,fr,Product#name
Expandable Garden Hose,Tuyau d'arrosage extensible,fr,Product#name
Digital Air Fryer,Air Fryer,fr,Product#name
Adjustable Wooden Book Shelf,Etagère à livres en bois réglable,fr,Product#name
Cordless Vacuum Cleaner,Aspirateur sans fil,fr,Product#name
Portable BBQ Grill Set,Kit barbecue portable,fr,Product#name
Home Repair Tool Kit,Kit d'outils de réparation pour la maison,fr,Product#name
High-Speed Blender,Blender haute performance,fr,Product#name
Automatic Window Cleaner,Robot nettoyeur de vitres,fr,Product#name
Metal Garden Shed,Abri de jardin en métal,fr,Product#name
Bamboo Cutting Board,Planche à découper en bambou,fr,Product#name
Portable Car Battery Charger,Chargeur de batterie de voiture portable,fr,Product#name
Countertop Ice Maker,Machine à glaçons de comptoir,fr,Product#name
Fitness Tracker Watch,Montre connectée,fr,Product#name
Wireless Ergonomic Mouse,Souris ergonomique sans fil,fr,Product#name
Smart LED Light Bulb,Ampoule LED connectée,fr,Product#name
4-Person Camping Tent,Tente de camping pour 4 personnes,fr,Product#name
Portable Power Bank,Batterie externe,fr,Product#name
Single Serve Coffee Maker,Cafetière,fr,Product#name
7-Port USB Hub,Hub USB à 7 ports,fr,Product#name
Stainless Steel Water Bottle,Bouteille d'eau en acier inoxydable,fr,Product#name
Noise-Canceling Gaming Headset,Casque gaming à réduction de bruit active,fr,Product#name
LED Desk Lamp,Lampe de bureau LED,fr,Product#name
Smart Video Doorbell,Sonnette vidéo intelligente,fr,Product#name
Air Purifier,Purificateur d'air,fr,Product#name
Stainless Steel Electric Kettle,Bouilloire électrique en acier inoxydable,fr,Product#name
Cordless Electric Lawn Mower,Tondeuse à gazon électrique sans fil,fr,Product#name
Cordless Power Drill,Perceuse électrique sans fil,fr,Product#name
14-inch Ultrabook Laptop,Ordinateur portable ultrabook de 14 pouces,fr,Product#name
High-Performance Gaming Desktop,Ordinateur gamer performant,fr,Product#name
Quantum Computing for Beginners,L'informatique quantique pour les débutants,fr,Product#name
Artificial Minds: How AI is Reshaping the World,Esprits artificiels : Comment l'IA redessine le monde,fr,Product#name
Journey to Titan,Voyage vers Titan,fr,Product#name
16-inch Gamer Pro Laptop,Ordinateur portable Gamer Pro 16 pouces,fr,Product#name
Euro,Euro,fr,Currency#name
US Dollar,Dollar US,fr,Currency#name
Pound Sterling,Livre Sterling,fr,Currency#name
Japanese Yen,Yen Japonais,fr,Currency#name
Bahraini Dinar,Dinar Bahreïni,fr,Currency#name
